Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,glove,no_transform,train,1.82294939076395e+17
1,glove,no_transform,test,1.7319384754159616e+16
2,glove,no_transform,train,1.82294939076395e+17
2,glove,no_transform,test,1.7319384754159616e+16
3,glove,no_transform,train,1.82294939076395e+17
3,glove,no_transform,test,1.7319384754159616e+16
4,glove,no_transform,train,1.82294939076395e+17
4,glove,no_transform,test,1.7319384754159616e+16
5,glove,no_transform,train,1.82294939076395e+17
5,glove,no_transform,test,1.7319384754159616e+16
6,glove,no_transform,train,1.82294939076395e+17
6,glove,no_transform,test,1.7319384754159616e+16
7,glove,no_transform,train,1.82294939076395e+17
7,glove,no_transform,test,1.7319384754159616e+16
8,glove,no_transform,train,1.82294939076395e+17
8,glove,no_transform,test,1.7319384754159616e+16
9,glove,no_transform,train,1.82294939076395e+17
9,glove,no_transform,test,1.7319384754159616e+16
10,glove,no_transform,train,1.82294939076395e+17
10,glove,no_transform,test,1.7319384754159616e+16
11,glove,no_transform,train,1.82294939076395e+17
11,glove,no_transform,test,1.7319384754159616e+16
12,glove,no_transform,train,1.82294939076395e+17
12,glove,no_transform,test,1.7319384754159616e+16
13,glove,no_transform,train,1.82294939076395e+17
13,glove,no_transform,test,1.7319384754159616e+16
14,glove,no_transform,train,1.82294939076395e+17
14,glove,no_transform,test,1.7319384754159616e+16
15,glove,no_transform,train,1.82294939076395e+17
15,glove,no_transform,test,1.7319382606675968e+16
16,glove,no_transform,train,1.82294939076395e+17
16,glove,no_transform,test,1.7319382606675968e+16
17,glove,no_transform,train,1.82294939076395e+17
17,glove,no_transform,test,1.7319381532934144e+16
18,glove,no_transform,train,1.82294939076395e+17
18,glove,no_transform,test,1.7319381532934144e+16
19,glove,no_transform,train,1.8229492189652582e+17
19,glove,no_transform,test,1.7319379385450496e+16
20,glove,no_transform,train,1.8229492189652582e+17
20,glove,no_transform,test,1.7319379385450496e+16
21,glove,no_transform,train,1.8229492189652582e+17
21,glove,no_transform,test,1.7319379385450496e+16
22,glove,no_transform,train,1.8229492189652582e+17
22,glove,no_transform,test,1.7319379385450496e+16
23,glove,no_transform,train,1.8229492189652582e+17
23,glove,no_transform,test,1.7319378311708672e+16
24,glove,no_transform,train,1.8229492189652582e+17
24,glove,no_transform,test,1.7319378311708672e+16
25,glove,no_transform,train,1.8229492189652582e+17
25,glove,no_transform,test,1.7319376164225024e+16
26,glove,no_transform,train,1.8229492189652582e+17
26,glove,no_transform,test,1.7319376164225024e+16
27,glove,no_transform,train,1.8229492189652582e+17
27,glove,no_transform,test,1.7319376164225024e+16
28,glove,no_transform,train,1.8229492189652582e+17
28,glove,no_transform,test,1.7319376164225024e+16
29,glove,no_transform,train,1.8229492189652582e+17
29,glove,no_transform,test,1.7319372942999552e+16
30,glove,no_transform,train,1.8229492189652582e+17
30,glove,no_transform,test,1.7319372942999552e+16
31,glove,no_transform,train,1.8229492189652582e+17
31,glove,no_transform,test,1.731936972177408e+16
32,glove,no_transform,train,1.8229492189652582e+17
32,glove,no_transform,test,1.731936972177408e+16
33,glove,no_transform,train,1.8229492189652582e+17
33,glove,no_transform,test,1.731936972177408e+16
34,glove,no_transform,train,1.8229490471665664e+17
34,glove,no_transform,test,1.731936972177408e+16
35,glove,no_transform,train,1.8229490471665664e+17
35,glove,no_transform,test,1.7319368648032256e+16
36,glove,no_transform,train,1.8229490471665664e+17
36,glove,no_transform,test,1.7319366500548608e+16
37,glove,no_transform,train,1.8229490471665664e+17
37,glove,no_transform,test,1.7319363279323136e+16
38,glove,no_transform,train,1.8229490471665664e+17
38,glove,no_transform,test,1.7319363279323136e+16
39,glove,no_transform,train,1.8229488753678746e+17
