Epochs,Features_used,Transform_method,Stage,Loss(BCE)
1,physicochemical_index,no_transform,train,1.82294939076395e+17
1,physicochemical_index,no_transform,test,1.7319384754159616e+16
2,physicochemical_index,no_transform,train,1.82294939076395e+17
2,physicochemical_index,no_transform,test,1.7319384754159616e+16
3,physicochemical_index,no_transform,train,1.82294939076395e+17
3,physicochemical_index,no_transform,test,1.7319384754159616e+16
4,physicochemical_index,no_transform,train,1.82294939076395e+17
4,physicochemical_index,no_transform,test,1.7319384754159616e+16
5,physicochemical_index,no_transform,train,1.82294939076395e+17
5,physicochemical_index,no_transform,test,1.7319384754159616e+16
6,physicochemical_index,no_transform,train,1.82294939076395e+17
6,physicochemical_index,no_transform,test,1.7319384754159616e+16
7,physicochemical_index,no_transform,train,1.82294939076395e+17
7,physicochemical_index,no_transform,test,1.7319384754159616e+16
8,physicochemical_index,no_transform,train,1.82294939076395e+17
8,physicochemical_index,no_transform,test,1.7319384754159616e+16
9,physicochemical_index,no_transform,train,1.82294939076395e+17
9,physicochemical_index,no_transform,test,1.7319384754159616e+16
10,physicochemical_index,no_transform,train,1.82294939076395e+17
10,physicochemical_index,no_transform,test,1.7319384754159616e+16
11,physicochemical_index,no_transform,train,1.82294939076395e+17
11,physicochemical_index,no_transform,test,1.7319382606675968e+16
12,physicochemical_index,no_transform,train,1.82294939076395e+17
12,physicochemical_index,no_transform,test,1.7319381532934144e+16
13,physicochemical_index,no_transform,train,1.82294939076395e+17
13,physicochemical_index,no_transform,test,1.7319381532934144e+16
14,physicochemical_index,no_transform,train,1.82294939076395e+17
14,physicochemical_index,no_transform,test,1.7319381532934144e+16
15,physicochemical_index,no_transform,train,1.82294939076395e+17
15,physicochemical_index,no_transform,test,1.7319381532934144e+16
16,physicochemical_index,no_transform,train,1.82294939076395e+17
16,physicochemical_index,no_transform,test,1.7319381532934144e+16
17,physicochemical_index,no_transform,train,1.82294939076395e+17
17,physicochemical_index,no_transform,test,1.7319381532934144e+16
18,physicochemical_index,no_transform,train,1.82294939076395e+17
18,physicochemical_index,no_transform,test,1.7319379385450496e+16
19,physicochemical_index,no_transform,train,1.82294939076395e+17
19,physicochemical_index,no_transform,test,1.7319379385450496e+16
20,physicochemical_index,no_transform,train,1.8229492189652582e+17
20,physicochemical_index,no_transform,test,1.7319378311708672e+16
21,physicochemical_index,no_transform,train,1.8229492189652582e+17
21,physicochemical_index,no_transform,test,1.7319378311708672e+16
22,physicochemical_index,no_transform,train,1.8229492189652582e+17
22,physicochemical_index,no_transform,test,1.7319376164225024e+16
23,physicochemical_index,no_transform,train,1.8229492189652582e+17
23,physicochemical_index,no_transform,test,1.7319376164225024e+16
24,physicochemical_index,no_transform,train,1.8229492189652582e+17
24,physicochemical_index,no_transform,test,1.7319376164225024e+16
25,physicochemical_index,no_transform,train,1.8229492189652582e+17
25,physicochemical_index,no_transform,test,1.73193750904832e+16
26,physicochemical_index,no_transform,train,1.8229492189652582e+17
26,physicochemical_index,no_transform,test,1.73193750904832e+16
27,physicochemical_index,no_transform,train,1.8229492189652582e+17
27,physicochemical_index,no_transform,test,1.7319372942999552e+16
28,physicochemical_index,no_transform,train,1.8229492189652582e+17
28,physicochemical_index,no_transform,test,1.731936972177408e+16
29,physicochemical_index,no_transform,train,1.8229492189652582e+17
29,physicochemical_index,no_transform,test,1.731936972177408e+16
30,physicochemical_index,no_transform,train,1.8229492189652582e+17
30,physicochemical_index,no_transform,test,1.731936972177408e+16
31,physicochemical_index,no_transform,train,1.8229492189652582e+17
31,physicochemical_index,no_transform,test,1.7319366500548608e+16
32,physicochemical_index,no_transform,train,1.8229492189652582e+17
32,physicochemical_index,no_transform,test,1.7319365426806784e+16
33,physicochemical_index,no_transform,train,1.8229492189652582e+17
33,physicochemical_index,no_transform,test,1.7319363279323136e+16
34,physicochemical_index,no_transform,train,1.8229492189652582e+17
34,physicochemical_index,no_transform,test,1.7319360058097664e+16
35,physicochemical_index,no_transform,train,1.8229488753678746e+17
35,physicochemical_index,no_transform,test,1.731935898435584e+16
36,physicochemical_index,no_transform,train,1.8229488753678746e+17
36,physicochemical_index,no_transform,test,1.7319356836872192e+16
37,physicochemical_index,no_transform,train,1.8229488753678746e+17
37,physicochemical_index,no_transform,test,1.731935361564672e+16
38,physicochemical_index,no_transform,train,1.8229487035691827e+17
38,physicochemical_index,no_transform,test,1.7319350394421248e+16
39,physicochemical_index,no_transform,train,1.8229487035691827e+17
39,physicochemical_index,no_transform,test,1.7319347173195776e+16
40,physicochemical_index,no_transform,train,1.8229487035691827e+17
40,physicochemical_index,no_transform,test,1.7319343951970304e+16
41,physicochemical_index,no_transform,train,1.8229487035691827e+17
41,physicochemical_index,no_transform,test,1.7319340730744832e+16
42,physicochemical_index,no_transform,train,1.8229487035691827e+17
42,physicochemical_index,no_transform,test,1.731933750951936e+16
43,physicochemical_index,no_transform,train,1.822948359971799e+17
43,physicochemical_index,no_transform,test,1.7319334288293888e+16
44,physicochemical_index,no_transform,train,1.822948359971799e+17
44,physicochemical_index,no_transform,test,1.7319331067068416e+16
45,physicochemical_index,no_transform,train,1.822948359971799e+17
45,physicochemical_index,no_transform,test,1.7319325698359296e+16
46,physicochemical_index,no_transform,train,1.822948359971799e+17
46,physicochemical_index,no_transform,test,1.7319319255908352e+16
47,physicochemical_index,no_transform,train,1.822948359971799e+17
47,physicochemical_index,no_transform,test,1.731931603468288e+16
48,physicochemical_index,no_transform,train,1.8229481881731072e+17
48,physicochemical_index,no_transform,test,1.7319309592231936e+16
49,physicochemical_index,no_transform,train,1.8229481881731072e+17
49,physicochemical_index,no_transform,test,1.7319304223522816e+16
50,physicochemical_index,no_transform,train,1.8229480163744154e+17
50,physicochemical_index,no_transform,test,1.731929992855552e+16
51,physicochemical_index,no_transform,train,1.8229478445757235e+17
51,physicochemical_index,no_transform,test,1.73192945598464e+16
